team,rpi
France,0.485205669653344
Belgium,0.48181186868686865
Germany,0.47700727513227514
Netherlands,0.4710666937229437
Sweden,0.4672077922077922
Brazil,0.4665605459355459
Mexico,0.46363802863802867
Argentina,0.45368188184364655
Colombia,0.44393872012406493
Uruguay,0.44114787329073035
